timestamp_utc,soil_humidity,soil_temperature,system_air_humidity,system_air_temperature
2021-06-15T17:57:02+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:57:05+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:57:07+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:57:12+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:57:14+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:57:17+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:19+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:57:23+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:26+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:57:29+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:32+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:35+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:57:38+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:41+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:44+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:47+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:50+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:53+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:57:56+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:57:59+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:58:02+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:58:04+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:58:08+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:58:11+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:58:14+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:58:17+00:00,103.55,15.88,92.0,16.6
2021-06-15T17:58:20+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:58:23+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:58:26+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:58:29+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:58:32+00:00,103.55,15.88,92.0,16.6
2021-06-15T17:58:35+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:58:38+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:58:42+00:00,103.55,15.88,92.0,16.6
2021-06-15T17:58:44+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:58:47+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:58:50+00:00,103.55,15.88,92.0,16.6
2021-06-15T17:58:53+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:58:56+00:00,103.55,15.88,92.0,16.6
2021-06-15T17:58:59+00:00,103.55,15.88,92.0,16.6
2021-06-15T17:59:02+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:05+00:00,103.55,15.88,92.0,16.6
2021-06-15T17:59:08+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:11+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:14+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:17+00:00,103.55,15.88,92.0,16.6
2021-06-15T17:59:20+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:23+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:26+00:00,103.55,15.88,92.0,16.6
2021-06-15T17:59:29+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:32+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:35+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:38+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:41+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:44+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:47+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:50+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:53+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:56+00:00,103.79,15.88,92.0,16.6
2021-06-15T17:59:59+00:00,103.55,15.88,92.0,16.6
2021-06-15T18:00:02+00:00,103.79,15.88,92.0,16.6
2021-06-15T18:00:05+00:00,103.79,15.88,92.0,16.6
2021-06-15T18:00:08+00:00,103.79,15.88,92.0,16.6
2021-06-15T18:00:11+00:00,104.03,15.88,92.0,16.6
2021-06-15T18:00:14+00:00,103.79,15.88,92.0,16.6
2021-06-15T18:00:17+00:00,103.79,15.88,92.0,16.6
2021-06-15T18:00:20+00:00,103.79,15.88,92.0,16.6
2021-06-15T18:00:23+00:00,103.55,15.88,92.0,16.6
2021-06-15T18:00:26+00:00,103.32,15.88,92.0,16.6
2021-06-15T18:00:29+00:00,103.55,15.88,92.0,16.6
2021-06-15T18:00:32+00:00,103.79,15.88,92.0,16.6
2021-06-15T18:00:35+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:00:38+00:00,103.55,15.88,92.0,16.6
2021-06-15T18:00:41+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:00:44+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:00:47+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:00:50+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:00:53+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:00:56+00:00,103.55,15.88,92.0,16.7
